66365, 0.004272, -0.977173, -0.271362, 3.694656, 3.633588, -1.297710
66374, 0.017090, -0.975586, -0.263550, 2.198473, 4.335878, -1.312977
66383, 0.010010, -0.980469, -0.266968, 0.748092, 2.916031, -0.931298
66392, 0.006836, -0.975464, -0.267090, 0.320611, 1.770992, -1.053435
66401, -0.000610, -0.976685, -0.269409, -1.236641, 1.786260, -1.022901
66410, -0.002808, -0.970337, -0.281738, -1.175573, 2.213740, -1.801527
66419, 0.002197, -0.974243, -0.294800, -1.007634, 3.099237, -2.519084
66428, 0.026978, -0.979614, -0.292725, -0.229008, 1.938931, -3.022901
66437, 0.041504, -0.973755, -0.300659, -0.580153, -0.748092, -0.885496
66446, 0.015137, -0.976807, -0.277466, 2.335878, 0.412214, -0.412214
66455, 0.015747, -0.974854, -0.284424, 1.541985, 0.229008, 0.213740
66464, 0.017090, -0.976807, -0.281860, 1.664122, 0.274809, 0.259542
66473, 0.019043, -0.973389, -0.292603, 2.396947, 0.259542, 0.625954
66482, 0.014160, -0.975342, -0.288818, 3.328244, 0.351145, 0.916031
66491, 0.020142, -0.976196, -0.284058, 3.618321, 0.366412, 1.068702
66500, 0.031616, -0.974854, -0.282593, 2.610687, 1.496183, 1.496183
66509, 0.011719, -0.979248, -0.284058, 1.251908, 5.160306, 2.687023
66518, -0.007324, -0.973633, -0.274170, 2.290076, 4.503817, 2.106870
66527, -0.016724, -0.972412, -0.272095, 2.122137, 1.572519, 0.641221
66536, -0.014648, -0.974487, -0.267334, 1.847328, 0.213740, -0.381679
66545, 0.066284, -0.985474, -0.260986, 0.763359, 0.137405, -1.419847
66554, 0.010498, -0.976318, -0.291016, 0.320611, 0.519084, 0.167939
66563, 0.017456, -0.979126, -0.286011, 1.068702, 0.656489, 0.213740
66572, 0.016602, -0.975586, -0.291626, 1.572519, 0.442748, 0.335878
66581, 0.016846, -0.977539, -0.282959, 3.145038, 0.824427, 0.549618
66590, 0.017334, -0.974976, -0.275269, 3.816794, 0.885496, 0.534351
66599, 0.012695, -0.974854, -0.279541, 3.343511, 1.038168, 0.549618
66608, 0.016357, -0.976807, -0.287842, 3.251908, 1.251908, 0.595420
66617, 0.020752, -0.975708, -0.277954, 3.450382, 1.847328, 0.656489
